text,label
"Government announces new education policy for students",REAL
"Scientists discover a new method to clean drinking water",REAL
"NASA successfully launches a new research satellite",REAL
"Local authorities announce new public transport routes",REAL
"Researchers develop a new renewable energy technology",REAL
"Aliens have landed in India and are living among humans",FAKE
"Government will give every citizen 10 crore rupees tomorrow",FAKE
"Scientists confirm that drinking cold water makes people invisible",FAKE
"Moon will disappear from the sky for 7 days",FAKE
"Facebook announces free money for everyone who shares this post",FAKE
